NAME,TYPE,LAT,LON,DESC,LINK
Pablo Döner,Food,52.44289387408277,13.586858597360033,Surely best Kebab in Köpenick as well as one of the best I've eaten so far. Very nice and friendly staff. Delicious meat and big portions.,https://www.google.com/search?q=pablo+doner&ei=AKQCY4bGKqHl7_UPmIupmAk&ved=0ahUKEwiGxu7X8Nj5AhWh8rsIHZhFCpMQ4dUDCA4&uact=5&oq=pablo+doner&gs_lcp=Cgdnd3Mtd2l6EAMyBggAEB4QFjIGCAAQHhAWMgYIABAeEBYyBggAEB4QFjIGCAAQHhAWMggIABAeEA8QFjoHCAAQRxCwAzoKCAAQRxCwAxDJAzoNCC4QxwEQrwEQsAMQQzoHCAAQsAMQQzoKCC4QxwEQrwEQQzoFCAAQgAQ6CAgAEB4QFhAKOgUILhCABDoICC4QgAQQ1AI6CwguEIAEEMcBEK8BOgQIABATOggIABAeEBYQEzoKCAAQHhAWEAoQEzoKCAAQHhAPEBYQEzoECC4QE0oECEEYAEoECEYYAFDcBViLGmDPG2gCcAF4AoABlQOIAa8LkgEJNy4yLjEuMC4xmAEAoAEByAEKwAEB&sclient=gws-wiz
Kimchi Princess,Food,52.499391321272334,13.426270992073897,The best and most famous Korean BBQ restaurant. Great main dishes and starters together with craft beers. Often very crowded - better to make a reservation,https://www.google.com/search?q=kimchi+princess&oq=kimchi+princess&aqs=chrome.0.0i355i512j46i175i199i512j0i512j0i22i30l7.3180j0j7&sourceid=chrome&ie=UTF-8
Urban Nation,Museums,52.49926901983461,13.356778661378142,Street art museum filled mainly with photographs showing various graffiti styles. It takes around one hour to see everything inside. Worth seeing - free of charge,https://www.google.com/search?q=urban+nation&ei=38sDY_6iCZioxc8P9_WymAE&ved=0ahUKEwi-jtfsitv5AhUYVPEDHfe6DBMQ4dUDCA4&uact=5&oq=urban+nation&gs_lcp=Cgdnd3Mtd2l6EAMyCgguEMcBEK8BEEMyBggAEB4QFjIGCAAQHhAWMgYIABAeEBYyBggAEB4QFjIGCAAQHhAWMgYIABAeEBYyBggAEB4QFjIGCAAQHhAWMgYIABAeEBY6BQguEIAEOgsILhCABBDHARDRAzoICC4QgAQQ1AI6BQgAEIAEOgQIABBDOg0ILhDHARCvARDUAhBDOgoILhDHARDRAxBDOgsILhCABBDHARCvAUoECEEYAEoFCEASATFKBAhGGABQAFj6CGCYCmgAcAF4AIABvQGIAdkLkgEEMS4xMZgBAKABAcABAQ&sclient=gws-wiz
Tempelhofer Feld,Relax,52.47515574092955,13.401893,Old military airport converted into a recreational area where you can ride your skateboard - drink a beer - make a barbeque with your friends - take your dog for a walk or just relax in the sun,https://www.google.com/search?q=tempelhofer+feld&oq=tempelhofer+feld&aqs=chrome..69i57j46i175i199i512j0i512l2j0i22i30l4j0i10i22i30j0i22i30.4779j0j9&sourceid=chrome&ie=UTF-8
Checkpoint Charlie,Sightseeing,52.50796581254423, 13.390477130689069,One of the most famous border crossing points between East Germany and West Berlin during the Cold War which represents significant events in world history ,https://www.google.com/search?q=checkpoint+charlie&oq=checkpoint+charlie&aqs=chrome.0.0i271j46i175i199i512l2j0i512l7.2058j0j9&sourceid=chrome&ie=UTF-8
Warschauer Straße,Party,52.50664301845431,13.449828936334384,Meeting point betwen Kreuzberg and Friedrichshain where you can experience lots of street artists playing around as well as drink the first and last beer during the night out,https://www.google.com/search?q=warshauer+strasse&oq=warshauer+strasse&aqs=chrome..69i57j0i10l3j0i10i22i30l2j0i22i30l4.2140j0j4&sourceid=chrome&ie=UTF-8 
Burgermeister,Food,52.50162133467798,13.442227414533601,Most famous burgers in Berlin - simple menu with reasonable prices. Definitely worth trying.,https://www.google.com/search?q=burgermeister&oq=burgermeister&aqs=chrome..69i57j0i512l2j46i175i199i512j0i512l2j46i175i199i512l4.1652j0j7&sourceid=chrome&ie=UTF-8
Müggelsee,Relax,52.43614338922802,13.635043710101712,Huge lake near the city with the public beach as well as sailing/windsurfing school and rental. Ideal place for the hot weekend in Berlin.,https://www.google.com/search?q=muggelsee&oq=muggelsee&aqs=chrome..69i57j46i512j0i10j0i512j0i10j0i30l4.1170j0j4&sourceid=chrome&ie=UTF-8
Park Sanssouci,Relax,52.403174451953845,13.029950930689072,Big and beautiful park in Potsdam where you can visit many impressive palaces or just relax in the nature.,https://www.google.com/search?q=Park+Sanssouci&oq=Park+Sanssouci&aqs=chrome..69i57j0i512l2j46i67i175i199j0i67j0i512l2j0i271.701j0j9&sourceid=chrome&ie=UTF-8
Deutsches Technikmuseum,Museums,52.49927296778858,13.378957483613384,The science and technology museum in Berlin with many exhibits on the history of technology.,https://www.google.com/search?gs_ssp=eJzj4tDP1TdIKarIM2C0UjWoMDFPtDA1MDYyNjFLNDJNSrICCpkYm1oaWiZZWhoamSWaW3iJlqQmZ-RlZivklhanluYqJKUW5WTmAQDIoBUo&q=technik+museum+berlin&oq=technik+m&aqs=chrome.1.0i355i512j46i175i199i512j0i512j69i57j46i175i199i512l2j0i512l4.2715j0j9&sourceid=chrome&ie=UTF-8
Pergamonmuseum,Museums,52.52180969832245,13.397929968268848,Museum which is the part of the so-called Museum Island. It is famous for its collections of ancient architecture and Hellenistic sculptures. There are among others Ishtar Gate and Great Altar of Zeus,https://www.google.com/search?q=Pergamonmuseum&oq=Pergamonmuseum&aqs=chrome..69i57j46i175i199i512j46i67i175i199j0i512l2j0i67.589j0j9&sourceid=chrome&ie=UTF-8
Musée Futurium,Museums,52.52427044146636,13.37588995240327,Interactive exhibitions dedicated to the challenges of the future - climate - housing - food and technology. Free of charge.,https://www.google.com/search?q=futurium&oq=futurium&aqs=chrome..69i57j46i175i199i512j0i512l7.998j0j9&sourceid=chrome&ie=UTF-8
East Side Gallery,Sightseeing,52.51256975230026,13.436488341568175,A memorial gallery for freedom created by artists from all over the world on a 1316 m long section of the Berlin Wall. The gallery consists of approximately 106 paintings.,https://www.google.com/search?gs_ssp=eJzj4tTP1TcwLjFJSzNgtFI1qDAxT7QAYrM009SUxDSTJCuDipRUy6RUS_Mkk0RLQyMLQwsvwdTE4hKF4syUVIX0xJyc1KJKAK4LFOE&q=east+side+gallery&oq=east+side&aqs=chrome.2.69i57j46i512j46i67i175i199j46i175i199i512j0i512l5.2555j0j4&sourceid=chrome&ie=UTF-8
Sony Center,Sightseeing,52.51053568094319,13.372961402483606,A complex of buildings constructed by Sony at Potsdamer Platz in Berlin. A modern place in the capital with Potsdamer Platz next door.,https://www.google.com/search?q=Sony+Center+Berlin&ei=Zi0FY8zgEv6B9u8Pyd66wAo&oq=sony+center&gs_lcp=Cgdnd3Mtd2l6EAEYADIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQsAMQQzIHCAAQsAMQQzIHCAAQsAMQQzIHCAAQsAMQQzISCC4QxwEQrwEQyAMQsAMQQxgBMhIILhDHARDRAxDIAxCwAxBDGAEyEgguEMcBENEDEMgDELADEEMYATISCC4QxwEQ0QMQyAMQsAMQQxgBMhIILhDHARDRAxDIAxCwAxBDGAEyEgguEMcBENEDEMgDELADEEMYATISCC4QxwEQrwEQyAMQsAMQQxgBMhIILhDHARDRAxDIAxCwAxBDGAFKBAhBGABKBAhGGAFQAFgAYNILaAFwAXgAgAEAiAEAkgEAmAEAyAEUwAEB2gEGCAEQARgI&sclient=gws-wiz


